feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
passion_point,Brand_Linkage_T2B,2.3077460277018957,1364,3327,***,2.408858549064501e-07,0.16000152065844048,53.37889693417493,55.68664296187683,multiple_testing_risk,Global,Global
passion_point,Uniqueness_T2B,3.5339337370329127,1364,3327,***,4.504075638321246e-13,0.22043657133445094,56.346218755635704,59.880152492668614,multiple_testing_risk,Global,Global
passion_point,Shareability_T2B,3.1697505818630454,1359,3325,***,1.4297039593957685e-08,0.17804159649619603,43.09478135338346,46.2645319352465,multiple_testing_risk,Global,Global
passion_point,SCD_score,2.2718715591490577,1309,3099,**,0.008255225164846168,0.09083270550055977,49.24357534688609,51.515446906035145,multiple_testing_risk,Global,Global
intrinsic_elements,Attention_T2B,2.113773032902999,1188,3503,***,4.732443417888343e-05,0.13447511036931636,58.92621493005996,61.03998796296296,multiple_testing_risk,Global,Global
intrinsic_elements,Persuasion_T2B,3.161469374014181,1188,3503,***,5.994397618053107e-08,0.18723528904801154,54.20910739366258,57.37057676767676,multiple_testing_risk,Global,Global
intrinsic_elements,Likeability_Love_Like_T2B,3.132703335861231,1188,3503,***,8.684592591183728e-08,0.180864168493498,55.543618212960325,58.676321548821555,multiple_testing_risk,Global,Global
intrinsic_elements,Experience_Recall_T2B,3.6184061842701123,1190,3507,***,1.9962577392391406e-10,0.2035134823265158,36.139297177074425,39.75770336134454,multiple_testing_risk,Global,Global
intrinsic_elements,Brand_Linkage_T2B,0.7274709372005361,1188,3503,ns,0.13093088629518237,0.051293568305016315,53.86568655438195,54.59315749158249,multiple_testing_risk,Global,Global
intrinsic_elements,Uniqueness_T2B,1.0472526241816826,1188,3503,*,0.030455589891392205,0.0659869357524484,57.10856143305738,58.15581405723906,multiple_testing_risk,Global,Global
intrinsic_elements,Shareability_T2B,1.215099984814244,1186,3498,*,0.02584373184415934,0.06933140740443622,43.706775900514586,44.921875885328824,multiple_testing_risk,Global,Global
intrinsic_elements,SCD_score,2.321897988152405,1132,3276,**,0.007837981005559878,0.09272738171089938,49.32195360195361,51.64385159010602,multiple_testing_risk,Global,Global
food,Attention_T2B,1.8215245529224378,997,3694,***,5.798942254382106e-05,0.11270967012010154,59.07439279913373,60.89591735205617,multiple_testing_risk,Global,Global
food,Persuasion_T2B,2.9552873816902747,997,3694,***,1.1132100768326532e-06,0.17242418612051189,54.38165143475907,57.33693881644935,multiple_testing_risk,Global,Global
food,Likeability_Love_Like_T2B,2.972096620641562,997,3694,***,6.560673054607303e-07,0.16741884783057878,55.70530468327017,58.677401303911736,multiple_testing_risk,Global,Global
food,Experience_Recall_T2B,2.70425105311356,1001,3696,***,1.4482665081909287e-06,0.1527033985266539,36.47971617965368,39.18396723276724,multiple_testing_risk,Global,Global
food,Brand_Linkage_T2B,1.1459201807099806,997,3694,**,0.008723396427333647,0.07867676621122499,53.806371494315094,54.95229167502508,multiple_testing_risk,Global,Global
food,Uniqueness_T2B,1.5893294090175258,997,3694,***,0.0006858652440318999,0.09815152158055272,57.03599155387115,58.62532096288867,multiple_testing_risk,Global,Global
food,Shareability_T2B,1.6577776173938241,993,3691,**,0.004530977210841228,0.09231392637819157,43.662996098618265,45.320773716012084,multiple_testing_risk,Global,Global
food,SCD_score,4.7632322054524225,956,3452,***,2.589823484102331e-07,0.19108884349471628,48.88518829663963,53.64842050209205,multiple_testing_risk,Global,Global
seasonal,Attention_T2B,2.110906447227212,371,4320,*,0.019808195992477493,0.13761926269262098,59.29458331018519,61.405489757412404,multiple_testing_risk,Global,Global
seasonal,Persuasion_T2B,-0.7917374682414824,371,4320,ns,0.36203841928664793,-0.04747077874617658,55.07236900462963,54.28063153638815,multiple_testing_risk,Global,Global
seasonal,Likeability_Love_Like_T2B,2.8075400220874402,371,4320,**,0.006346697078393133,0.16665859053905474,56.11493652777778,58.92247654986522,multiple_testing_risk,Global,Global
seasonal,Experience_Recall_T2B,3.956131562993387,371,4326,***,0.00015231467333132905,0.21498588464682897,36.743550647249194,40.699682210242585,multiple_testing_risk,Global,Global
seasonal,Brand_Linkage_T2B,4.153908616664159,371,4320,***,1.234328460865603e-09,0.29713140289395146,53.72139650462964,57.8753051212938,multiple_testing_risk,Global,Global
seasonal,Uniqueness_T2B,3.0759494231681117,371,4320,***,0.0004126432855095234,0.20273391312641087,57.13050960648148,60.206459029649594,multiple_testing_risk,Global,Global
seasonal,Shareability_T2B,1.4360873545971264,371,4313,ns,0.09304618801082275,0.08505698742950595,43.900695664270806,45.33678301886793,multiple_testing_risk,Global,Global
seasonal,SCD_score,8.59761824488356,353,4055,***,1.9223803611391626e-09,0.3385482793309422,49.229718865598024,57.82733711048158,multiple_testing_risk,Global,Global
